;review_id;rating;title;review_date;user_name;review;response_id;dev_response;response_date;lang
1;5387399470;5;Really useful information;2020-01-11T01:19:08Z;Suez62;"We have an ‘eco’ woodburner and as an asthmatic I have noticed that I am symptomatic on the days it is lit. We love the stove and use it a lot in the evenings. 
It burns very cleanly so I was wondering if particulates are escaping when the door is opened to add wood.
The monitor showed that the problem is just when the kindling is lit and the door has to be left slightly ajar. As soon as the stove reaches temperature there are no more peaks to purple even with the door opened.
I now wear a mask when lighting the stove until the air quality improves ( 5-10 mins with ventilation) and am considering buying an IQ air purifier. 
Other helpful info was a rise to red when cooking on the hob including an increased humidity reading in the house. This was rectified by cleaning the extractor hood filters.
The high C02 readings when all the family was in one room has led us to ventilate the house more and this really improves air quality as seen by the green readings.

All in all a very useful purchase-easy to set up and use and great for anyone with allergies to see what may be triggering symptoms. 
Highly recommended.";;;;en
110;5387075958;5;Such a good app for the health conscious;2020-01-10T23:24:11Z;hshfhehevdhd;I’ve been using this app since moving to Sydney to monitor the air quality from the bush fires. It’s so informative I love it! So easy to use and read.;;;;en
20;5373615887;5;Very useful app;2020-01-07T21:57:10Z;KM_Kras;I downloaded the app because of the bad quality of the air in Sofia, Bulgaria. It is very useful and helps me decide when it is “safe” to go out or to rather stay indoors. In a city with constantly bad air quality this extremely useful;;;;en
24;5370724261;5;So helpful;2020-01-07T04:31:49Z;Bliesner;Am in Canberra Australia at the moment where we’ve had horrendous smoke haze, and this app has really helped us manage our days.  When to stay inside and when we can go outside.  Highly recommended.;;;;en
212;5366143796;5;Very helpful!;2020-01-06T00:21:38Z;Goldilockx;Strongly recommend this app;;;;en
236;5356697087;5;Great app;2020-01-03T19:41:39Z;SRD7142;Gives you visual pollution rates.;;;;en
182;5340984232;5;Awesome - clear and helpful;2019-12-31T02:43:47Z;Ljm232;"I rarely do reviews on the App Store. But this is really helpful. 

Very clear and simple to use. 

if you think the air might be bad where you live - get this app. Or if you travel much - get this app. Or you are curious - get this app. 

I’m wearing my 3M 9504 INV mask as I type. Much needed here.";;;;en
189;5340623315;5;Grate App;2019-12-31T00:41:17Z;Maxromio;I use this app every day. It’s better safe than sorry..;;;;en
67;5334678319;5;AirVisual;2019-12-29T13:56:10Z;breathless 0987654321;Great App. Very useful;;;;en
172;5289290178;5;Using in China;2019-12-19T02:15:41Z;Waughc01;Great way of quantifying the air quality so you restrict your activities to the conditions;;;;en
114;5288495053;5;Clear reports;2019-12-18T20:29:26Z;Barefitness;I have recently moved to Sydney and found it quite hard with the smoke this app has helped me plan how to combat the effects of smoke inhalation;;;;en
132;5288477037;5;Fantastic;2019-12-18T20:22:26Z;fredallwell;I am working in Pristina so for me this app is extremely useful, warning me when the pollution levels are bad.;;;;en
198;5263300752;5;If Apps could be divine;2019-12-12T11:52:15Z;Shigeto19;In terms of apps, this one is the greatest;;;;en
53;5255673747;5;Thanks for update and information provided;2019-12-10T12:32:55Z;Alt Shaq;It would be good to get more information on how you make your information accurate.;;;;en
195;5254824617;5;Very informative;2019-12-10T07:05:17Z;todorestia;Very informative not sure how to implement info tho;;;;en
21;5247746943;5;This App is helping me with my Asthma while I’m in Australia;2019-12-08T09:42:19Z;Tone 1985;Without this app at the moment while I'm on holiday in Australia, my Asthma would be through the roof as we nearly have gone to certain places but because of the bush fires we have stayed away. Thank you.;;;;en
39;5242697919;5;Good app;2019-12-07T05:05:30Z;Bean thối;Excellent app we need;;;;en
64;5218836692;5;Amazing app;2019-12-01T01:50:06Z;HarisBinImran;Very helpfull;;;;en
154;5174090870;5;Perfect app;2019-11-20T21:26:27Z;danib13579;The app gives accurate measurement of AI. That helps in reconsidering outdoor activities that could be dangerous in hazardous air quality;;;;en
102;5168050909;5;Spin2020;2019-11-19T11:15:38Z;soun2020;Love it;;;;en
49;5167488201;5;Useful;2019-11-19T07:49:03Z;SomebodyWhoLikesStuff;Thanks!;;;;en
233;5136173032;5;mike in Asia;2019-11-14T10:22:08Z;Mike in Asia;great app really helpful when travelling;;;;en
180;5125417350;5;Very useful;2019-11-12T01:56:08Z;Ronhyu;Great app which tells me whether not I should go outside;;;;en
73;5119801739;5;Monitoring My Air;2019-11-10T18:13:38Z;Mazzwe;A German tourist I met in Delhi during the worst day of pollution recommended this App. It was easy to download and is equally easy to read. I find it useful to know the levels of pollution wherever I may be.;;;;en
163;5114284639;5;Frequent traveler;2019-11-09T23:46:41Z;Beijing dweller;This app is a reliable friend for those living in an area at risk of pollution or traveling often;;;;en
223;5113040532;5;ChrissyHam;2019-11-09T18:46:17Z;chrissyham;Great app to keep on top of air quality.;;;;en
196;5097551863;5;Ann296;2019-11-07T08:23:07Z;cgtygjk;Helped me know what sort of day I can expect suffering copd;;;;en
208;5089087714;5;Great App for living in Vietnam;2019-11-05T13:14:04Z;robhcmc;Let’s me know when to train indoors.;;;;en
209;5086086102;5;Great app;2019-11-04T18:04:37Z;GolfEC;Excellent app highly recommend;;;;en
136;5009336966;5;Great app;2019-10-24T23:42:00Z;livvy228;"Great app for air pollution and weather. Great when you’re on holiday and trying to plan trips ahead. 
Easy to use and understand.";;;;en
200;4996704404;5;Best In Class;2019-10-22T10:57:45Z;Fenboyroy;Brilliant. Only problem is insufficient coverage of major cities and towns in the U. K.;;;;en
22;4963091515;5;Great app;2019-10-18T01:37:31Z;Long Viet Dao;This app works perfectly and checking the quality air is one of my daily routines which is helpful for all members of my family and colleagues as well. We need to do something to improve our natural evironment everyday. Love this app!;;;;en
40;4962881591;5;Useful;2019-10-18T00:31:04Z;Lynkpeo;Very useful app;;;;en
148;4957642844;5;Great;2019-10-17T00:21:26Z;hojobojonono;Well it’s great for me because I live in a very polluted city called Beijing in China so I ware my gasmask like a everyday thing and because my brother has got lung desise;;;;en
0;4915894551;5;A tragic reality;2019-10-10T01:06:52Z;Si & Ro;"Amazingly helpful app, both for health and as a driver of environmental action. Awful to see the country I live in has removed the app from its domestic app stores while leading a campaign to discredit the horrific readings it relays simply because polluting the air is how companies (and governments) make short-term profits.

It seems we have entered an age of anti science, where the most ignorant minds feel legitimized in overlooking the work and the warnings of the most intelligent, simply because what they’re seeing and reading doesn’t match their own blinkered agenda.

Download this app, tell your friends to download this app, share the information and never lose sight of how bad the situation really is. If not for you, do it for your kids.";;;;en
238;4911476583;5;Really helpful;2019-10-09T02:10:57Z;Milunice;Thanks the app;;;;en
15;4911279262;5;Good information and easy to use;2019-10-09T01:05:32Z;dengjiesl;"This app has useful features that you can pick and choose from and it’s easy to use. The air quality ratings are good and it keeps up when you change location. 
Overall a great app!";;;;en
76;4909891312;5;Very useful;2019-10-08T16:59:09Z;CabbageFartBreath;Happy with this. As a runner in a country with poor air quality it’s good to know at a click of a button whether to head for the gym or outside.;;;;en
27;4903744482;5;Reliable app;2019-10-07T08:48:23Z;Starkwood94;The interface is friendly to customers. I find this app is very much helpful as there is no other available tool to check how good is your environment when travelling to other countries. Superb.;;;;en
44;4882616273;5;Super;2019-10-04T08:34:15Z;choochy-face;This app is very helpful;;;;en
3;4858351034;5;Accurate & Reliable;2019-09-29T07:38:33Z;r2thebizel;Very clear, easy to use and engaging. Very reliable and clear with multiple air monitoring stations and location based options. Forecast accurate. I also have two of their Nodes for indoor monitoring and cannot recommend it enough - links up to the app perfectly. Support if you need them are fabulous too with a real mission to help bring down air pollution in general.;;;;en
94;4852396730;5;Good air quality app;2019-09-28T11:16:16Z;jake888113;Information well displayed and options of having multiple cities for comparison;;;;en
164;4830367963;5;Very helpful, gets data from multiple sources;2019-09-24T01:35:34Z;dhegyi;Unbiased;;;;en
31;4824906862;5;MissSN123;2019-09-22T19:49:31Z;MissSN123;Excellent app. I use it everyday.;;;;en
65;4812621500;5;Great app;2019-09-21T01:39:54Z;ChungChungvn;Fast.;;;;en
204;4812240818;5;Great app!;2019-09-21T00:14:33Z;mr urqurhart;"Quick guide to air quality. 
Very reliable.";;;;en
175;4802822041;5;A must have app;2019-09-19T06:20:42Z;Fabrizio Bigi;"Great app, very detailed info with a clean and clear interface at no charge. 
Super.";;;;en
78;4788631582;5;Great app especially if you have kids!;2019-09-16T02:25:17Z;Landroverin;We use this app everyday, as school trips are frequently cancelled based on the AQI levels in China, so it’s a must for our family;;;;en
47;4787922366;5;Super help full;2019-09-16T00:10:44Z;jimmy_DA;Great app, super helpful;;;;en
29;4750480428;5;Really helpful app;2019-09-08T22:37:08Z;alxxna13;This app is very helpful, not only does it check the air but it also checks the weather forecast too! You can also use it for loads of locations in loads of countries 👍🏻;;;;en
165;4612495451;5;Very helpful;2019-08-13T21:12:52Z;Magali Jolie;"Pragmatic and helpful when I travel . Hope all the mesures are accurate! 

I";;;;en
155;4576653578;5;A massive Thanks!;2019-08-06T10:38:23Z;Ayka1910;I like travel and this app just a big discover for me and helpful indeed to organise my day with wheather track!;;;;en
221;4534823369;5;Great app;2019-07-29T03:22:17Z;ryan_mif;Use it when appropriate to exercise outside in uae;;;;en
139;4436481319;5;Wonderful AQI;2019-07-10T03:24:07Z;upenchhet;Very useful, I do a couple of checks everyday before leaving the house, and then decide whether I need to carry a mask or not.;;;;en
10;4419037852;5;Easy and simplistic. Perfect.;2019-07-06T11:00:19Z;KarateRob;This app is very easy to use. It gives you the air data for the nearest air sampling point to your location. It gives you the information you need in colour coded alerts and the little guy is smiling or wearing a mask as the air quality gets worse etc. An excellent app.;;;;en
43;4410487473;5;40 shades of green 🇮🇪;2019-07-04T17:21:27Z;40 shades of green;Great for Paddleboards on the local canal in Market Harborough 🙏;;;;en
37;4395874232;5;Great tool;2019-07-01T09:52:37Z;Rkkdjsjdnnsmsmdmdmdmsm;Very informative;;;;en
115;4302147197;5;Great app to show you when to be outside and when not;2019-06-12T00:39:05Z;M4te5;Great app to show you when to be outside and when not;;;;en
201;4274819118;5;Good ap;2019-06-06T23:25:21Z;toralero;Super helpful especially if your living in beijing;;;;en
74;4264050883;5;I live in tehran;2019-06-04T19:38:23Z;irandokhtt;"I have to check air pollution everyday 
It was great if also would show you how to keep safe at polluted times 
Great simple right result app with simple understandable layout 
Love it 
thank you AirVisual ⭐️⭐️⭐️⭐️⭐️";;;;en
56;4171561595;5;Information at hand;2019-05-18T20:29:23Z;Um Bongo!;Useful app when you live in places with typical poor quality air, nice to have a better idea of when to perform exercise outside;;;;en
126;4102003763;5;V. Good;2019-05-05T02:17:37Z;jagmes;V. Good;;;;en
149;4089437503;5;Allergy control;2019-05-02T11:23:42Z;Chrisstannard;Great for keeping an eye on the changing air quality. Helped me manage my allergies. Nice clear presentation. Easy to understand.;;;;en
107;4078234478;5;Cool;2019-04-29T22:16:22Z;26447547886;Cool;;;;en
61;4076301549;5;Very helpful;2019-04-29T11:51:03Z;the dogs dangly bits;Great app.;;;;en
5;4066024368;5;Excellent air quality app;2019-04-27T07:09:38Z;Dubz07;"I used this whilst traveling when I noticed I was struggling with a sore throat and itchy eyes whenever I went outside (it wasn't hayfever season); I was shocked to see how poor the air quality was in the location I was visiting and it allowed me to avoid going outside when the quality was at its worst.

Since returning to the UK I still use it to monitor air auality and whilst most the time it's green, it's good to get alerts when things get worse.

It's very localised and you have the option to add your own air quality unit to your house, then share the data with the app.

Really nicely done app. Recommended for the curious or those who suffer when air quality is poor.";;;;en
2;4057061182;5;Air quality app;2019-04-25T07:07:47Z;# alone at xmas;I was introduced to this app via a friend who lives in London and I live in Highlands of Scotland . I wanted to compare the air quality and see IF there differences . I began to question the numbers as on occasion they were the slightly the same . How can that meaning maki g be possible? As the geography is different , the demographics is different, the car volume is different etc, So I am curious about this app . It is helping me remain curious about the stats;;;;en
66;4053051998;5;Good App;2019-04-24T07:12:25Z;Babytk4;Very useful 👍🏻;;;;en
75;4041095386;5;really helpful!;2019-04-21T09:41:10Z;hannah_eve;this app has been extremely helpful especially after there has been a local fire all over the Ilkley moors today..;;;;en
166;3997696082;5;Local Air Quality on your phone;2019-04-11T08:03:16Z;Kindly Mr Lardbucket;This app has become a necessity for me and managing my asthma.;;;;en
227;3989566441;5;Brilliant;2019-04-09T07:50:39Z;wohenyingyu01;Have to use this app since apple blocks AQI in Shanghai... The AQI is there, no matter Chinese gov bans it or not.;;;;en
224;3985550002;5;Great app;2019-04-08T07:29:52Z;1999bit;Really helpful when travelling;;;;en
131;3972223544;5;Helpful;2019-04-05T10:43:29Z;Fanofjewlquest;Used it first time in Chiang Mai recently.  Shocked to see readings of 330+.  Bad enough to require gas mask.  Now need to check with this app before flying to a different city.;;;;en
79;3954280138;5;Super useful;2019-04-01T04:39:01Z;Gemmayork1111;Helps me know when I should keep my 4 month old baby inside and when it’s okay to go out and about. Highly recommended.;;;;en
234;3949354770;5;Love it!;2019-03-31T03:26:02Z;TIS22;Great app. It’s so helpful and easy to use.;;;;en
68;3924884754;5;the best air quality app;2019-03-25T11:34:52Z;Pensionaru;nice app;;;;en
12;3912736860;5;Essential app, well designed;2019-03-22T16:13:14Z;MuchtooBizy;"I live in a city with bad pollution for a few months every year. 
I use this app several times a day in pollution season, to decide on going out, wearing a mask, closing windows, etc. 
It’s a simple, well presented, easy to read app. 
The widget is especially useful. Thanks to the design team.";;;;en
153;3903425661;5;Does exactly what it’s meant to;2019-03-20T09:45:39Z;JAY0700;Really helpful app, especially in Asia where pollution is severe at times. Fully recommend this 👍;;;;en
4;3883883779;5;Best aqi app yet;2019-03-15T12:07:55Z;jhugs43;"I’ve tried several aqi apps over the years, most are too basic with their information, not real time, or are too clunky to bother with.
This one is fast and user friendly compared to the others I’ve tried, and I like how my favourite locations can be looked at together.  Plenty of information on each site is available- I now only use this app.";;;;en
81;3878757449;5;Great app to guide U;2019-03-14T02:35:35Z;Jonuk67;Oh yes.;;;;en
158;3872419743;5;Does the job!;2019-03-12T09:43:13Z;Maclenstarson;Up to date and accurate.;;;;en
218;3860957728;5;nice screen;2019-03-09T12:25:02Z;Pauljamestill;Very good app, so easy to us and clean;;;;en
167;3847224647;5;PM2.5 information;2019-03-06T00:17:10Z;orn uk;Clear information, many thanks.;;;;en
181;3831602052;5;Good not got all places, but sure it will soon;2019-03-02T08:19:39Z;kath 1234;Good not got all places, but sure it will soon.;;;;en
190;3828979052;5;Excellent, if rather frightening;2019-03-01T16:57:16Z;Hanikam1;Planning to purchase an air quality monitor;;;;en
186;3820431658;5;Nice clean UI;2019-02-27T12:11:22Z;Half_pfennig;A well-designed app with a nice balance between at-a-glance information and detail.;;;;en
108;3776056675;5;Mr;2019-02-16T10:56:16Z;davalaaaar;Good;;;;en
210;3770827188;5;Excellent tool;2019-02-15T02:55:45Z;Primrosepetal;Extremely helpful;;;;en
239;3767868393;5;Essential;2019-02-14T07:25:25Z;lifeinchina;Living in Baoding, China this app is essential to day to day life.;;;;en
35;3756525588;5;Good;2019-02-11T04:47:00Z;Jeannienic;Most helpful;;;;en
100;3756073061;5;Good app;2019-02-11T01:55:30Z;vgazdag;Good;;;;en
168;3734671835;5;Great app;2019-02-05T04:16:11Z;nikateo;Really help to understand the air quality and what precautions one should be taking.;;;;en
69;3734013494;5;One of the realest;2019-02-04T23:53:47Z;DeanBlunt;🍑;;;;en
203;3727774405;5;Great app;2019-02-03T09:29:46Z;Sam bùi;I help me a lot. Like i can stay out side freely or not. Or i will need a mask.;;;;en
32;3727681760;5;Good one;2019-02-03T08:56:38Z;knchon;Very helpful app;;;;en
95;3714856936;5;Be aware of air quality;2019-01-31T04:03:30Z;CRDavy;Living in Kabul, with some of the poorest air quality in the world and having responsibility for a large team of staff AirVisual is really helpful in raising awareness as to the risks people are exposed too.;;;;en
105;3714328090;5;很不错的app;2019-01-31T00:39:07Z;fo in my heart;Good;;;;en
187;3711953095;5;Brilliant!;2019-01-30T10:17:32Z;manxali;Accurate, informative and easy to read. Best I’ve ever used by a mile.;;;;en
150;3710443150;5;Really useful;2019-01-30T01:05:04Z;Teabadger;Great, easy to use app. A constant reminder of how bad our local air quality is!;;;;en
60;3703987634;5;Super;2019-01-28T09:28:19Z;Vic.om;Thanks for perfect app;;;;en
169;3703707672;5;Great app - very useful;2019-01-28T07:40:01Z;Pompey_Dave;Really helpful app. Living in a big city it helps to know which days are going to be very smoggy.;;;;en
191;3693733369;5;Excellent;2019-01-25T19:03:09Z;Borishsar;Very informative and user friendly.;;;;en
118;3690662251;5;Very useful;2019-01-25T00:16:09Z;Hsuchdnsbsjdjdbe;Very useful and nice layout, get a notification everyday so don’t even need to open the app to check;;;;en
51;3662189190;5;Joining the movement ASAP;2019-01-17T23:54:17Z;CIST Bangkok;Looking forward to having our own monitor for our new school and using the data with our students and local community. Keep building awareness !;;;;en
130;3659188005;5;Good. I look at this more than the weather at the moment.;2019-01-17T05:16:07Z;Ulterium;Good. I look at this more than the weather at the moment.;;;;en
213;3648558590;5;Perfect for Thai ppl!;2019-01-14T09:41:11Z;npatitaya;Since the air in Thailand is now toxic, this app help me a lot on tracking the toxic.;;;;en
80;3628517408;5;Mrs Ruck;2019-01-09T03:13:38Z;TeacherinChina;Super helpful for living in China;;;;en
101;3593000020;5;Great;2018-12-30T21:25:27Z;Killmallock;V useful;;;;en
59;3510711315;5;Excellent resource;2018-12-09T07:32:54Z;Andrew Bedford;A fantastic app allowing you to access the latest air quality information from all over the world. Easy to use and contains a lot of useful resources.;;;;en
142;3457596755;5;Daz934434;2018-11-25T05:56:21Z;Daz3439339;Depressing how we are failing to look after the atmosphere. Helpful to be kept informed how badly we are doing.;;;;en
111;3438475161;5;Incredibly useful;2018-11-20T06:19:31Z;jordibares;If there was a reason for the new app economy, this app is the perfect example of how to make our lives better.;;;;en
93;3412550063;5;Brilliant;2018-11-13T08:03:02Z;RicoUNI;Easy to use and always receive alerts/ notifications if conditions change. Let’s be more health wise!;;;;en
170;3401545031;5;Very Useful Application is you are concerned about the air you breathe;2018-11-10T10:39:48Z;Pip34;Very Useful Application is you are concerned about the air you breathe;;;;en
219;3393060286;5;Good comprehensive information;2018-11-08T02:55:26Z;GV RDG;Good App and comprehensive information;;;;en
19;3391301894;5;Very interesting..;2018-11-07T14:35:36Z;Ms Rome;"Unfortunately our Air quality is getting worse.. especially in the cities. Simply by looking or smelling, there’s no way to know what is a fresh air day and what isn’t.
We need to monitor our own air space.
This is a good start.";;;;en
7;3381487891;5;The go to app for people who care about the air .;2018-11-04T22:31:22Z;Taxed teacher;The title says it all really . It’s good to know what’s what on any given day in terms of pollution  in order to protect yourself accordingly . It helps me remember to bring my mask or change the activity for the day or turn the air purifier up high . It’s good to be in touch with the pollution levels just to be able to plan a healthier life in the circumstances .;;;;en
151;3374771212;5;Trusted Sentinel;2018-11-03T04:31:39Z;Kuwaitname&#;We live in an state with very poor air quality and rely upon this app to make go/no go decisions on things like outdoor v indoor exercise.  Simply, clear, authoritative.;;;;en
13;3347856312;5;Super helpful;2018-10-27T01:13:34Z;Lepidus Maximus;I’ve been using AirVisual for a couple of months now and, living in and traveling across Asia it is super useful for being able to judge whether it is safe to exercise outdoors as a welcome escape from the dreadmill in the gym. I have, as a result, avoided many of those asthma triggering events previously experienced. I fully recommend.;;;;en
211;3303265947;5;Great! A+;2018-10-15T04:40:07Z;CL London;Best app and best product to measure are quality, especially in conjunction with a good air purifier.;;;;en
220;3290980557;5;Neat and clear;2018-10-11T23:34:58Z;ZhYWZGW;Lots of data (enough for the layperson) nicely presented.;;;;en
146;3281645580;5;Very useful!;2018-10-09T12:06:50Z;jnd101989;Very useful as gives me an idea of air quality near me before I leave the house every morning!;;;;en
242;3268950151;5;Spot on;2018-10-06T05:03:05Z;Oliver Wood1980;Great App! Needs more publicity;;;;en
199;3081100095;5;Love it;2018-08-18T09:20:19Z;xxayani;Actually explained why I felt unwell in certain part of the world;;;;en
143;3066098651;5;Excellent;2018-08-15T05:03:07Z;513645;Makes you realise how you are breathing toxic levels of pollution every day, or not, if you are lucky enough to live in a clean area.;;;;en
222;2933585561;5;Helpful;2018-07-19T09:29:42Z;Bunnytheboo;Easy to use and very helpful :);;;;en
16;2914428410;5;Air Visual;2018-07-16T00:33:38Z;Buzz up;I use this app on a daily basis to monitor air pollution.  It is very useful to check before opening windows to see whether its recommended or not to let fresh air in. You can even check whether you can go for an outdoor sports such as cycling or running. Highly recommended;;;;en
193;2901560529;5;If you get this it will keep you informed.;2018-07-13T18:30:07Z;wheezeless;Especially helpful for me, severe asthma sufferer.;;;;en
11;2769529547;5;So versatile and useful;2018-06-25T22:15:35Z;Franceslond;Wherever you are in the world this app allows you to quickly and accurately check the air quality. It’s fabulous to be able to add your favourite locations but then also use the map to look up anywhere in the world. I use it all the time. It’s visually attractive too;;;;en
42;2691322821;5;Very nice app;2018-06-14T06:17:56Z;Inderiqbal sekhon;It’s very helpful app;;;;en
70;2670177121;5;Great App;2018-06-10T07:37:28Z;Aron 1976;"A nice and simple app - shows just the right level of information for general user.

Like that some of the data is from user basestations - so giving back etc";;;;en
28;2664186526;5;Accurate with good coverage.;2018-06-09T04:17:20Z;BBC Bugged;I bought my own air quality monitor to check the accuracy of the Apps data and I found the App to be very accurate.  Excellent data for monitoring air quality and health implications.;;;;en
36;2599431784;5;Very good;2018-05-26T15:44:04Z;Theworldis!;Works well;;;;en
240;2586138349;5;Great app;2018-05-23T16:49:18Z;stewrx8;Good app gives a realistic assessment;;;;en
225;2530278494;5;Simple, effective and informative;2018-05-11T01:15:55Z;pemscott123793;This is a brilliant idea well executed.;;;;en
137;2489541967;5;So useful!;2018-04-30T23:01:03Z;YonseiSeoulite;This app is so easy to use. I never have to worry about leaving the house without a mask again.;;;;en
